Date	Unit Count	Order Count	Sales
2023-08-01	5	5	124.95
2023-08-02	6	6	149.94
2023-08-03	9	5	224.91
2023-08-04	8	8	199.92
2023-08-05	5	5	124.95
2023-08-06	0	0	0.0
2023-08-07	16	10	399.84
2023-08-08	8	8	199.92
2023-08-09	4	4	99.96
2023-08-10	5	4	124.95
2023-08-11	3	3	74.97
2023-08-12	1	1	24.99
2023-08-13	2	2	49.98
2023-08-14	1	1	24.99
2023-08-15	6	5	149.94
2023-08-16	3	3	74.97
2023-08-17	8	6	199.92
2023-08-18	6	4	149.94
2023-08-19	0	0	0.0
2023-08-20	1	1	24.99
2023-08-21	1	1	24.99
2023-08-22	1	1	24.99
2023-08-23	2	2	49.98
2023-08-24	3	3	74.97
2023-08-25	2	2	49.98
2023-08-26	4	3	99.96
2023-08-27	4	4	99.96
2023-08-28	2	2	49.98
2023-08-29	4	3	99.96
2023-08-30	9	6	224.91
2023-08-31	6	5	149.94
2023-09-01	3	1	74.97
2023-09-02	5	5	124.95
2023-09-03	2	2	49.98
2023-09-04	4	3	99.96
2023-09-05	3	3	74.97
2023-09-06	5	5	124.95
2023-09-07	1	1	24.99
2023-09-08	6	5	149.94
2023-09-09	1	1	24.99
2023-09-10	3	2	74.97
2023-09-11	3	3	74.97
2023-09-12	3	3	74.97
2023-09-13	2	2	49.98
2023-09-14	2	2	49.98
2023-09-15	4	4	99.96
2023-09-16	2	2	49.98
2023-09-17	4	3	99.96
2023-09-18	7	5	174.93
2023-09-19	4	1	99.96
2023-09-20	7	6	174.93
2023-09-21	2	2	49.98
2023-09-22	5	3	124.95
2023-09-23	7	4	174.93
2023-09-24	3	3	74.97
2023-09-25	12	7	299.88
2023-09-26	0	0	0.0
2023-09-27	7	6	174.93
2023-09-28	7	3	174.93
2023-09-29	0	0	0.0
2023-09-30	9	6	224.91
2023-10-01	4	4	99.96
2023-10-02	4	3	99.96
2023-10-03	10	4	249.9
2023-10-04	5	4	124.95
2023-10-05	6	4	149.94
2023-10-06	3	3	74.97
2023-10-07	4	4	99.96
2023-10-08	1	1	24.99
2023-10-09	1	1	24.99
2023-10-10	11	7	274.89
2023-10-11	8	4	199.92
2023-10-12	5	2	124.95
2023-10-13	1	1	24.99
2023-10-14	1	1	24.99
2023-10-15	3	3	74.97
2023-10-16	6	5	149.94
2023-10-17	1	1	24.99
2023-10-18	3	3	74.97
2023-10-19	1	1	24.99
2023-10-20	2	2	49.98
2023-10-21	0	0	0.0
2023-10-22	2	2	49.98
2023-10-23	6	5	149.94
2023-10-24	3	3	74.97
2023-10-25	3	3	74.97
2023-10-26	5	3	124.95
2023-10-27	3	3	74.97
2023-10-28	3	2	74.97
2023-10-29	2	2	49.98
2023-10-30	1	1	24.99
2023-10-31	4	4	99.96
2023-11-01	3	3	74.97
2023-11-02	4	4	99.96
2023-11-03	1	1	24.99
2023-11-04	2	1	49.98
2023-11-05	0	0	0.0
2023-11-06	4	4	99.96
2023-11-07	6	5	149.94
2023-11-08	3	3	74.97
2023-11-09	3	3	74.97
2023-11-10	7	5	174.93
2023-11-11	7	7	174.93
2023-11-12	2	2	49.98
2023-11-13	3	3	74.97
2023-11-14	0	0	0.0
2023-11-15	3	3	74.97
2023-11-16	4	4	99.96
2023-11-17	2	2	49.98
2023-11-18	0	0	0.0
2023-11-19	1	1	24.99
2023-11-20	7	6	174.93
2023-11-21	2	2	49.98
2023-11-22	8	6	199.92
2023-11-23	3	3	74.97
2023-11-24	2	2	49.98
2023-11-25	7	4	174.93
2023-11-26	1	1	24.99
2023-11-27	5	5	124.95
2023-11-28	1	1	24.99
2023-11-29	4	3	99.96
2023-11-30	0	0	0.0
2023-12-01	2	2	49.98
2023-12-02	4	4	99.96
2023-12-03	3	3	74.97
2023-12-04	6	5	149.94
2023-12-05	4	4	99.96
2023-12-06	2	2	49.98
2023-12-07	1	1	24.99
2023-12-08	5	5	124.95
2023-12-09	3	3	74.97
2023-12-10	6	6	149.94
2023-12-11	3	3	74.97
2023-12-12	1	1	24.99
2023-12-13	1	1	24.99
2023-12-14	3	3	74.97
2023-12-15	1	1	24.99
2023-12-16	3	3	74.97
2023-12-17	5	4	124.95
2023-12-18	6	6	149.94
2023-12-19	6	4	149.94
2023-12-20	0	0	0.0
2023-12-21	1	1	24.99
2023-12-22	8	7	199.92
2023-12-23	2	2	49.98
2023-12-24	2	2	49.98
2023-12-25	1	1	24.99
2023-12-26	7	4	174.93
2023-12-27	3	3	74.97
2023-12-28	8	6	199.92
2023-12-29	2	2	49.98
2023-12-30	2	2	49.98
2023-12-31	4	4	99.96
2024-01-01	3	3	74.97
2024-01-02	4	4	99.96
2024-01-03	3	3	74.97
2024-01-04	7	7	174.93
2024-01-05	6	5	149.94
2024-01-06	1	1	24.99
2024-01-07	3	3	74.97
2024-01-08	11	9	274.89
2024-01-09	5	3	124.95
2024-01-10	3	2	74.97
2024-01-11	1	1	24.99
2024-01-12	2	2	49.98
2024-01-13	1	1	24.99
2024-01-14	3	3	74.97
2024-01-15	5	3	124.95
2024-01-16	6	3	149.94
2024-01-17	2	2	49.98
2024-01-18	3	3	74.97
2024-01-19	3	3	74.97
2024-01-20	11	2	274.89
