Date	Unit Count	Order Count	Sales
2023-07-31	12	12	299.88
2023-08-01	15	14	374.85
2023-08-02	15	13	374.85
2023-08-03	14	14	349.86
2023-08-04	16	12	399.84
2023-08-05	9	7	224.91
2023-08-06	7	7	174.93
2023-08-07	14	12	349.86
2023-08-08	4	4	99.96
2023-08-09	12	12	299.88
2023-08-10	5	5	124.95
2023-08-11	11	10	274.89
2023-08-12	9	9	224.91
2023-08-13	6	6	149.94
2023-08-14	24	18	599.76
2023-08-15	26	17	649.74
2023-08-16	12	12	299.88
2023-08-17	7	6	174.93
2023-08-18	17	17	424.83
2023-08-19	17	17	424.83
2023-08-20	15	15	374.85
2023-08-21	23	20	574.77
2023-08-22	21	16	524.79
2023-08-23	12	12	299.88
2023-08-24	18	18	449.82
2023-08-25	16	15	399.84
2023-08-26	7	7	174.93
2023-08-27	8	8	199.92
2023-08-28	27	18	649.74
2023-08-29	15	15	374.85
2023-08-30	12	10	299.88
2023-08-31	18	17	449.82
2023-09-01	14	14	349.86
2023-09-02	3	3	74.97
2023-09-03	10	10	249.9
2023-09-04	18	18	449.82
2023-09-05	20	18	499.8
2023-09-06	26	22	649.74
2023-09-07	23	18	574.77
2023-09-08	9	8	224.91
2023-09-09	14	14	349.86
2023-09-10	14	14	349.86
2023-09-11	30	22	749.7
2023-09-12	21	20	524.79
2023-09-13	18	16	449.82
2023-09-14	17	17	424.83
2023-09-15	21	17	524.79
2023-09-16	14	14	349.86
2023-09-17	22	21	549.78
2023-09-18	30	19	749.7
2023-09-19	25	21	624.75
2023-09-20	29	24	724.71
2023-09-21	17	15	424.83
2023-09-22	44	24	1099.56
2023-09-23	17	13	424.83
2023-09-24	13	13	324.87
2023-09-25	28	24	699.72
2023-09-26	27	25	674.73
2023-09-27	21	20	524.79
2023-09-28	16	15	374.85
2023-09-29	16	15	399.84
2023-09-30	23	23	574.77
2023-10-01	12	12	299.88
2023-10-02	19	16	474.81
2023-10-03	24	21	599.76
2023-10-04	28	21	699.72
2023-10-05	19	17	474.81
2023-10-06	20	20	499.8
2023-10-07	9	9	224.91
2023-10-08	12	11	299.88
2023-10-09	21	20	524.79
2023-10-10	32	20	799.68
2023-10-11	23	16	574.77
2023-10-12	20	18	499.8
2023-10-13	14	13	349.86
2023-10-14	19	18	474.81
2023-10-15	23	21	574.77
2023-10-16	31	27	774.69
2023-10-17	24	20	599.76
2023-10-18	26	16	649.74
2023-10-19	19	16	474.81
2023-10-20	20	15	499.8
2023-10-21	8	8	199.92
2023-10-22	10	10	249.9
2023-10-23	25	20	624.75
2023-10-24	33	20	799.68
2023-10-25	16	16	399.84
2023-10-26	16	11	399.84
2023-10-27	32	25	799.68
2023-10-28	17	14	424.83
2023-10-29	14	13	349.86
2023-10-30	21	20	524.79
2023-10-31	24	23	599.76
2023-11-01	27	23	674.73
2023-11-02	11	11	274.89
2023-11-03	19	15	474.81
2023-11-04	21	20	524.79
2023-11-05	10	10	249.9
2023-11-06	33	28	824.67
2023-11-07	19	18	474.81
2023-11-08	23	21	574.77
2023-11-09	20	20	499.8
2023-11-10	19	19	474.81
2023-11-11	10	10	249.9
2023-11-12	18	16	449.82
2023-11-13	31	26	749.7
2023-11-14	26	21	649.74
2023-11-15	31	25	774.69
2023-11-16	16	12	399.84
2023-11-17	15	14	374.85
2023-11-18	18	17	449.82
2023-11-19	16	15	399.84
2023-11-20	12	11	299.88
2023-11-21	30	21	749.7
2023-11-22	9	8	224.91
2023-11-23	7	7	174.93
2023-11-24	19	19	474.81
2023-11-25	12	12	299.88
2023-11-26	21	21	524.79
2023-11-27	28	26	699.72
2023-11-28	17	16	424.83
2023-11-29	15	12	374.85
2023-11-30	13	11	324.87
2023-12-01	20	19	499.8
2023-12-02	6	5	149.94
2023-12-03	12	12	299.88
2023-12-04	22	21	549.78
2023-12-05	25	22	624.75
2023-12-06	11	10	274.89
2023-12-07	26	21	649.74
2023-12-08	10	10	249.9
2023-12-09	19	19	474.81
2023-12-10	18	18	449.82
2023-12-11	19	18	474.81
2023-12-12	22	21	549.78
2023-12-13	23	20	574.77
2023-12-14	22	14	549.78
2023-12-15	25	25	624.75
2023-12-16	14	14	349.86
2023-12-17	13	13	324.87
2023-12-18	18	17	449.82
2023-12-19	24	20	599.76
2023-12-20	24	18	599.76
2023-12-21	17	17	424.83
2023-12-22	9	9	224.91
2023-12-23	10	10	249.9
2023-12-24	9	9	224.91
2023-12-25	10	9	249.9
2023-12-26	20	19	499.8
2023-12-27	20	19	499.8
2023-12-28	26	25	649.74
2023-12-29	26	24	599.76
2023-12-30	17	16	424.83
2023-12-31	16	16	399.84
2024-01-01	18	16	449.82
2024-01-02	32	29	799.68
2024-01-03	28	27	699.72
2024-01-04	32	30	774.69
2024-01-05	12	12	299.88
2024-01-06	17	17	424.83
2024-01-07	18	18	449.82
2024-01-08	17	17	424.83
2024-01-09	27	24	674.73
2024-01-10	4	4	99.96
2024-01-11	30	22	749.7
2024-01-12	19	19	474.81
2024-01-13	20	19	499.8
2024-01-14	17	17	424.83
2024-01-15	20	15	499.8
2024-01-16	19	18	474.81
2024-01-17	15	13	374.85
2024-01-18	12	11	299.88
2024-01-19	11	10	274.89
2024-01-20	10	10	249.9
2024-01-21	11	11	274.89
2024-01-22	24	24	599.76
2024-01-23	23	19	574.77
2024-01-24	23	22	574.77
2024-01-25	30	26	749.7
2024-01-26	24	17	599.76
2024-01-27	16	16	399.84
2024-01-28	20	20	499.8
2024-01-29	24	16	599.76
2024-01-30	17	13	424.83
2024-01-31	16	15	399.84
2024-02-01	17	16	424.83
2024-02-02	19	19	449.82
2024-02-03	11	11	274.89
2024-02-04	10	9	249.9
2024-02-05	26	20	649.74
2024-02-06	22	21	549.78
2024-02-07	14	14	349.86
2024-02-08	11	10	274.89
2024-02-09	11	10	274.89
2024-02-10	6	6	149.94
2024-02-11	16	16	399.84
2024-02-12	10	10	249.9
2024-02-13	19	16	474.81
2024-02-14	20	17	499.8
2024-02-15	22	19	549.78
2024-02-16	17	16	424.83
2024-02-17	16	15	399.84
2024-02-18	11	11	274.89
2024-02-19	20	16	499.8
2024-02-20	18	17	449.82
2024-02-21	21	18	524.79
2024-02-22	16	15	399.84
2024-02-23	13	12	324.87
2024-02-24	13	13	299.88
2024-02-25	15	15	374.85
2024-02-26	18	17	449.82
2024-02-27	18	17	449.82
2024-02-28	34	27	849.66
2024-02-29	16	13	399.84
2024-03-01	27	22	674.73
2024-03-02	14	13	349.86
2024-03-03	9	8	224.91
2024-03-04	29	20	724.71
2024-03-05	15	13	374.85
2024-03-06	30	25	749.7
2024-03-07	21	17	524.79
2024-03-08	12	12	299.88
2024-03-09	13	12	324.87
2024-03-10	13	13	324.87
2024-03-11	18	17	424.83
2024-03-12	13	11	324.87
2024-03-13	17	14	424.83
2024-03-14	9	9	224.91
2024-03-15	24	19	599.76
2024-03-16	12	12	299.88
2024-03-17	9	9	224.91
2024-03-18	16	16	399.84
2024-03-19	16	16	399.84
2024-03-20	16	16	399.84
2024-03-21	11	11	274.89
2024-03-22	14	11	349.86
2024-03-23	10	10	249.9
2024-03-24	13	13	324.87
2024-03-25	17	16	424.83
2024-03-26	12	11	299.88
2024-03-27	20	15	499.8
2024-03-28	9	7	224.91
2024-03-29	16	11	399.84
2024-03-30	8	8	199.92
2024-03-31	13	13	324.87
2024-04-01	14	14	349.86
2024-04-02	10	10	249.9
2024-04-03	13	12	324.87
2024-04-04	5	5	124.95
2024-04-05	7	7	174.93
2024-04-06	8	8	174.93
2024-04-07	11	11	249.9
2024-04-08	9	9	224.91
2024-04-09	13	13	324.87
2024-04-10	16	11	399.84
2024-04-11	17	13	424.83
2024-04-12	6	6	149.94
2024-04-13	8	7	199.92
2024-04-14	21	21	524.79
2024-04-15	14	14	349.86
2024-04-16	9	8	224.91
2024-04-17	15	14	374.85
2024-04-18	17	16	424.83
2024-04-19	11	8	274.89
2024-04-20	4	4	99.96
2024-04-21	6	6	149.94
2024-04-22	21	18	524.79
2024-04-23	17	16	424.83
2024-04-24	14	13	349.86
2024-04-25	13	11	324.87
2024-04-26	11	11	274.89
2024-04-27	7	7	174.93
2024-04-28	6	6	149.94
2024-04-29	13	13	324.87
2024-04-30	17	16	424.83
2024-05-01	10	9	249.9
2024-05-02	15	13	374.85
2024-05-03	5	5	124.95
2024-05-04	9	9	224.91
2024-05-05	14	14	349.86
2024-05-06	9	9	224.91
2024-05-07	11	9	274.89
